Timestamp,Device Name,MessageType,Data
2025-09-03 13:00:40.718389,room0 Video Switcher,API,To Device,'w3cv\r\n'
2025-09-03 13:00:40.718389,room0 Video Switcher,API,To Device,'{1o:B\r}\r'
2025-09-03 13:00:41.411845,room0 Display13,Command,'Connect'
2025-09-03 13:00:41.723209,room0 Display2,Command,'Connect'
2025-09-03 13:00:41.893763,room0 MediaPort 1,Command,'Connect'
2025-09-03 13:00:42.103827,room0 Display5,Command,'Connect'
2025-09-03 13:00:42.428710,room0 Display1,Command,'Connect'
2025-09-03 13:00:42.470059,room0 Display3,Command,'Connect'
2025-09-03 13:00:42.470059,room0 MediaPort 2,Command,'Connect'
2025-09-03 13:00:42.516167,room0 Display8,Command,'Connect'
2025-09-03 13:00:42.516167,room0 Display4,Command,'Connect'
2025-09-03 13:00:44.142763,room0 Display10,Command,'Connect'
2025-09-03 13:00:44.189709,Annotator,Command,'Connect'
2025-09-03 13:00:44.235699,room0 Display7,Command,'Connect'
2025-09-03 13:00:44.279526,room0 Display9,Command,'Connect'
2025-09-03 13:00:44.388224,room0 Audio DSP,Command,'Connect'
2025-09-03 13:00:44.404337,room0 Video Conferencer,Command,'UpdateVideoContentSource,None'
2025-09-03 13:00:44.404337,room0 Video Conferencer,API,To Device,'vcbutton source get\r'
2025-09-03 13:00:44.510784,room0 Display12,Command,'Connect'
2025-09-03 13:00:44.558052,room0 Display6,Command,'Connect'
2025-09-03 13:00:44.605566,room0 Display11,Command,'Connect'
2025-09-03 13:00:44.729400,room0 Display14,Command,'Connect'
2025-09-03 13:00:44.806169,room0 ULX Mic2,Command,'Connect'
2025-09-03 13:00:44.867674,room0 ULX Mic1,Command,'Connect'
2025-09-03 13:00:45.237829,room0 MediaPort 1,Command,'Connect'
2025-09-03 13:00:45.330565,room0 MediaPort 2,Command,'Connect'
2025-09-03 13:00:45.410105,room0 Video Conferencer,Command,'UpdateIPAddress,None'
2025-09-03 13:00:45.410105,room0 Video Conferencer,API,To Device,'ipaddress get\r\n'
2025-09-03 13:00:48.439459,room0 Video Conferencer,Command,'UpdateVideoContentSource,None'Timestamp,Device Name,MessageType,Data
2025-09-03 13:00:48.439459,room0 Video Conferencer,API,To Device,'vcbutton source get\r'
2025-09-03 13:00:49.726010,room0 Video Switcher,Command,"UpdateVideoMuteDecoder,{'ID': '1'}"
2025-09-03 13:00:50.458965,room0 Video Conferencer,Command,'UpdateIPAddress,None'
2025-09-03 13:00:50.458965,room0 Video Conferencer,API,To Device,'ipaddress get\r\n'
2025-09-03 13:00:50.458965,room0 MediaPort 1,Command,'Connect'
2025-09-03 13:00:50.739162,room0 Video Switcher,API,To Device,'w3cv\r\n'
2025-09-03 13:00:50.739162,room0 Video Switcher,API,To Device,'{1o:B\r}\r'
2025-09-03 13:00:51.493251,room0 Display13,Command,'Connect'
2025-09-03 13:00:51.738401,room0 MediaPort 2,Command,'Connect'
2025-09-03 13:00:51.828697,room0 Display2,Command,'Connect'
2025-09-03 13:00:51.999969,room0 MediaPort 1,Command,'Connect'
2025-09-03 13:00:52.188033,room0 Display5,Command,'Connect'
2025-09-03 13:00:52.465813,room0 Video Conferencer,Command,'UpdateVideoContentSource,None'
